"","genenames"
"1168","RP11-536C5.7"
"1169","PEA15"
"1170","DCAF8"
"1171","RP11-574F21.3"
"1172","PEX19"
"1173","COPA"
"1174","NCSTN"
"1175","VANGL2"
"1176","SLAMF6"
"1177","CD84"
"1178","SLAMF1"
"1179","RP11-404F10.2"
"1180","CD48"
"1181","SLAMF7"
"1182","LY9"
"1183","CD244"
"1184","ITLN1"
"1185","F11R"
"1186","TSTD1"
"1187","USF1"
"1188","ARHGAP30"
"1189","KLHDC9"
"1190","PFDN2"
"1191","NIT1"
"1192","DEDD"
"1193","UFC1"
"1194","RP11-297K8.2"
"1195","USP21"
"1196","PPOX"
"1197","B4GALT3"
"1198","ADAMTS4"
"1199","NDUFS2"
"1200","FCER1G"
"1201","TOMM40L"
"1202","NR1I3"
"1203","MPZ"
"1204","SDHC"
"1205","FCGR2A"
"1206","HSPA6"
"1207","FCGR3A"
"1208","FCGR3B"
"1209","FCGR2B"
"1210","FCRLA"
"1211","FCRLB"
"1212","DUSP12"
"1213","RP11-474I16.8"
"1214","ATF6"
"1215","OLFML2B"
"1216","SH2D1B"
"1217","UHMK1"
"1218","UAP1"
"1219","DDR2"
"1220","HSD17B7"
"1221","RGS5"
"1222","RGS5.1"
"1223","NUF2"
"1224","PBX1"
"1225","MGST3"
"1226","ALDH9A1"
"1227","TMCO1"
"1228","RP11-466F5.8"
"1229","UCK2"
"1230","POGK"
"1231","TADA1"
"1232","ILDR2"
"1233","GPA33"
"1234","RP11-277B15.3"
"1235","POU2F1"
"1236","CD247"
"1237","RP11-104L21.3"
"1238","CREG1"
"1239","RP3-455J7.4"
"1240","RCSD1"
"1241","MPZL1"
"1242","MPC2"
"1243","DCAF6"
"1244","GPR161"
"1245","TIPRL"
"1246","SFT2D2"
"1247","TBX19"
"1248","XCL2"
"1249","XCL1"
"1250","ATP1B1"
"1251","NME7"
"1252","BLZF1"
"1253","CCDC181"
"1254","SLC19A2"
"1255","F5"
"1256","SELP"
"1257","C1orf112"
"1258","SELL"
"1259","METTL18"
"1260","SCYL3"
"1261","KIFAP3"
"1262","GORAB"
"1263","FMO4"
"1264","PRRC2C"
"1265","VAMP4"
"1266","METTL13"
"1267","DNM3"
"1268","PIGC"
"1269","SUCO"
"1270","FASLG"
"1271","TNFSF4"
"1272","RP11-296O14.3"
"1273","PRDX6"
"1274","KLHL20"
"1275","CENPL"
"1276","DARS2"
"1277","ZBTB37"
"1278","RC3H1"
"1279","RP11-160H22.5"
"1280","RABGAP1L"
"1281","CACYBP"
"1282","MRPS14"
"1283","KIAA0040"
"1284","RP11-318C24.2"
"1285","RFWD2"
"1286","SEC16B"
"1287","RASAL2"
"1288","C1orf220"
"1289","RP5-1098D14.1"
"1290","RALGPS2"
"1291","FAM20B"
"1292","TOR3A"
"1293","ABL2"
"1294","SOAT1"
"1295","TOR1AIP2"
"1296","RP11-533E19.7"
"1297","TOR1AIP1"
"1298","RP11-533E19.5"
"1299","CEP350"
"1300","QSOX1"
